카테고리목록,언급횟수
건강/의료용품>재활운동용품,10
쌀/과일/농수축산물>버섯/나물류,10
수납정리용품>정리함,10
자동차용품>타이어/휠,10
골프>골프공,10
침구/커튼/카페트>쿠션/방석/대방석,10
유아동의류>신생아의류,10
쥬얼리/시계>시계,10
골프클럽/의류/용품>피팅/연습용품,10
가구/DIY>식탁/테이블,10
음향/IOT/스마트홈>음향장비,10
꽃/원예/팬시/선물>원예/화분/식물/난,10
자동차용품/스쿠터>안전/편의용품,10
세제/방향/살충>탈취제,10
과자/간식>원물간식,10
키덜트/악기/취미>관악기/현악기,10
청소용품>빗자루/쓰레받기,10
디지털/가전>모니터주변기기,10
헬스/다이어트/보충제>아령/덤벨/파워볼,10
홈패브릭/수예>쿠션,10
브랜드 신발/가방/잡화>캐쥬얼가방,10
장난감>인형,9
구기/라켓/스포츠>테니스,9
건강용품/실버/비데>건강관리용품,9
자전거/헬스/스포츠>수영/물놀이용품,9
세탁용품>빨래바구니,9
출산/육아>인형,9
생활/욕실/수납용품>계절 생활용품,9
지갑/벨트>카드/명함지갑,9
화장품/향수>에센스/앰플,9
가구/DIY>책상/책장,9
화장품/향수>스킨케어,9
장난감>물놀이/계절완구,9
생활/건강>건강관리용품,9
가방/패션잡화>패션소품,9
즉석/간식/가공식품>식용유/참기름,9
장난감/교육완구/인형>이벤트/파티용품,9
침구/커튼>공예/DIY재료,9
즉석/간식/가공식품>국수/면요리,9
음료/과자/가공식품>올리브유/오일류,9
구기/라켓/수영/스키>테니스,9
악기/취미>관악기/현악기,9
쌀/과일/농수축산물>김/해조류,9
반려동물용품>강아지집/용품,9
수입명품>명품 지갑/벨트,9
건과/견과>견과류,9
신선식품>건과/견과,9
브랜드 남성의류>조끼/베스트,9
공구/포장재/안전용품>모터/발전기,9
골프클럽/의류/용품>연습용품,9
구기/라켓>테니스,9
신선식품>견과,9
악기>현악기,9
남성의류>니트/스웨터,9
생활잡화>모기장,9
가공식품>면류/국수,9
주방용품>뚝배기,9
시계/쥬얼리/선글라스>실버쥬얼리,9
주방가전>전기그릴/팬,9
스포츠/레저>테니스,9
쌀/과일/농수축산물>김/해초류,9
남성의류>니트,9
수산>해조류,9
세제/구강>살충제/방충제,9
골프>연습용품,9
세제/방향/살충>살충/방충제,9
뷰티소품>브러쉬,9
가공식품>즉석밥,9
화장지/물티슈/생리대>화장지,9
자전거/헬스/스포츠>킥보드/에스보드,9
미러리스/DSLR/디카>렌즈액세서리,9
유아동의류/잡화/임부복>책가방/아동 가방,9
건강/의료>체중계/신장계/기타측정기,9
건강측정용품>체중계,9
네일케어>젤네일,9
반찬/젓갈>젓갈,9
소동물/가축 용품>소동물 용품,9
전동레저/인라인/킥보드>보드 용품/잡화,9
유아동의류>유아동공용의류,9
건강용품/실버/비데>건강측정용품,9
소동물용품>고슴도치용품,9
홈패브릭/수예>뜨개질,9
캠핑>취사용품,9
뷰티소품>미용가위,9
스포츠의류/운동화>마스크/스카프,9
유아동의류/신발/가방>책가방/유아동가방,9
악기>기타악기,9
생활용품>화장지/물티슈,9
생활/건강>건강측정용품,9
악기/악기용품>교재용악기,9
청소기/이미용/소형가전>안마용품,9
생활/건강>안마용품,9
세제/화장지/구강/면도>화장지/냅킨/키친타올,9
취미>마술용품,9
악기/취미/프라모델>게임/퍼즐,9
음향기기>이어폰/헤드폰,9
카메라/주변기기>렌즈용품,9
건강용품/실버/비데>안마용품,9
세제/제지/일용잡화>화장지/제지류,9
요가/필라테스>요가매트,8
장난감/교육완구/인형>음악/악기놀이,8
DVD/음반/굿즈>음반,8
브랜드 쥬얼리/시계>쥬얼리,8
여행/항공권>여행필수품,8
바디케어>바디워시,8
가구·홈·데코>카페트·매트,8
브랜드 시계>시계소품,8
구강/면도>혀클리너,8
남성의류>청바지,8
쥬얼리/시계/선글라스>시계기타,8
건강용품/실버/비데>계절건강용품,8
여성의류>시즌/테마의류,8
컴퓨터 주변기기>공유기,8
카페트/러그>러그,8
자전거/인라인/오토바이>자전거 액세서리,8
가구/인테리어>기능성의자,8
자전거>튜닝용품,8
수영/수상레저>실내수영용품,8
스포츠 잡화>슬리퍼/샌들,8
커피/생수/음료>주스/과즙음료,8
음료/과자/가공식품>주스/과즙음료,8
악기/취미>교재용악기/교본,8
건강/의료용품>기타건강관리용품,8
가구·홈·데코>주방가구,8
자전거>자전거 신발/고글/헬멧,8
꽃/원예/팬시/선물>디자인/아이디어소품,8
PC주변기기>공유기,8
컴퓨터부품/주변기기>공유기,8
악기/악기용품>관악기,8
신선식품>과일,8
생활/욕실/수납용품>단열뽁뽁이/난방텐트,8
패션잡화>스타킹,8
DIY/시공/원예/꽃배달>벽지/스티커/단열시트,8
가공식품>수산가공식품,8
헬스/다이어트/보충제>푸쉬업/악력기/만보계,8
눈건강용품>기타 관리용품,8
국내도서>중고 DVD/음반,8
바디/헤어/향수/미용>바디클렌저/세정제,8
우유/유제품>치즈,8
바디케어>풋케어,8
생활/미용가전>보풀제거기/재봉틀,8
카메라>렌즈 액세서리,8
주방용품>주방가위,8
쌀/과일/농수축산물>반찬,8
가공식품>라면,8
주방가전>가스/전기레인지,8
쌀/과일/농수축산물>반찬류,8
헤어케어>헤어스프레이,8
자전거/헬스/스포츠>골프공,8
계절가전>선풍기/냉환풍기,8
식품>반찬,8
여성의류>조끼/베스트,8
스포츠 액세서리/안전용품>보호장비,8
쌀/과일/농수축산물>쌀/찹쌀/현미,8
공구/포장재/안전용품>보험잔존물,8
식품·건강>쌀·잡곡,8
계절가전/에어컨>선풍기/써큘레이터,8
반찬/젓갈>반찬,8
세제/화장지/구강/면도>눈건강/렌즈관리용품,8
주방잡화>행주/주방타올,8
계절가전>가습기,8
계절가전>난방매트,8
계절가전>온수매트,8
생활/수납/청소/욕실>디지털도어락,8
쥬얼리/시계>브로치/배지,8
생활/건강>눈건강용품,8
계절가전>습도조절기기,8
빅사이즈/시니어의류>남성정장/비즈니스의류,7
세제/구강>주방세제,7
세제/방향/살충>주방세제,7
세제/제지/일용잡화>주방세제,7
브랜드 캐주얼의류>팬츠,7
여성의류>명품 여성의류,7
온열/찜질용품>찜질팩,7
남성의류>점퍼/야상/패딩,7
여성신발>슬리퍼,7
쌀/과일/농수축산물>닭고기,7
생활/욕실/수납용품>수전/수도꼭지,7
주방잡화>종이컵/투명컵/일회용컵,7
컴퓨터 주변기기>마우스,7
생활용품>보수용품,7
남성의류>스포츠의류/트레이닝복,7
쌀/과일/농수축산물>닭고기/계란,7
남성의류>바지·팬츠,7
홈/언더웨어>남성 팬티,7
생활/미용가전>전기면도기,7
태블릿/MP3/이어폰>PMP/전자사전/학습기,7
아동/주니어가구>책꽂이,7
음향/IOT/스마트홈>MP3,7
학생/사무/아동가구>책장/책꽂이,7
골프클럽/의류/용품>볼/장갑/모자,7
유아동의류>유아동내의/잠옷,7
신선식품>정육/계란,7
가구/인테리어>책장/책꽂이,7
주방잡화>빨대,7
가구/DIY>책상소품,7
브랜드 남성의류>정장/슈트,7
언더웨어/잠옷>남성 팬티,7
국내/해외화장품>베이스스킨케어,7
주방/생활/이미용가전>전기면도기,7
이미용가전>전기면도기,7
세제/화장지/구강/면도>세탁세제/세탁보조제,7
음향가전>MP3액세서리,7
스포츠/레저>권투,7
유아동잡화>남아잡화,7
세탁용품>빨래건조대,7
생활잡화>신발용품,7
골프클럽/의류/용품>파크골프,7
디자인/문구/사무용품>드로잉용품,7
등산/캠핑/낚시/여행>민물/중층/내림낚시,7
주방/생활/이미용가전>전기레인지,7
건강식품/다이어트>생식/선식/미숫가루,7
주방가전>전기레인지/인덕션,7
헬스>헬스사이클,7
헬스/다이어트/보충제>헬스사이클,7
자전거/인라인/오토바이>오일/공구/펌프/패치,7
컴퓨터 주변기기>헤드셋,7
자전거>자전거관리용품,7
생활/욕실/수납용품>빨래건조대,7
세탁용품>빨래집게,7
출산/유아용품/임부복>출산준비물,7
키덜트/악기/취미>스타샵,7
생활/미용가전>제모기,7
키덜트/악기/취미>교재용악기,7
완구/취미>인형,7
생활잡화>핸드카트/장바구니,7
카메라>가방/케이스,7
침구/커튼/카페트>침구세트/이불베개세트,7
남성신발>슬립온,7
계절가전>선풍기,7
스포츠/레져>스포츠 신발,7
신발>아쿠아슈즈/쪼리,7
여성신발>운동화,7
냉난방/청정/제습가전>선풍기,7
구기/라켓/스포츠>권투/검도/태권도,7
구기/라켓/수영/스키>복싱/격투기,7
티켓/공연/굿즈>굿즈,7
캠핑/낚시>텐트/타프용 소품,7
공구/철물/산업/안전>소방/실외/도로,7
홈패브릭/수예>원단,7
커피/음료>커피/코코아,7
브랜드 캐주얼의류>자켓/점퍼/코트,7
브랜드 여성의류>바지/팬츠,7
음료/과자/가공식품>커피/코코아,7
커피/생수/음료>커피,7
애완/곤충/관상어용품>곤충사육용품,7
주방가전>커피머신/메이커,7
유아동잡화>여아잡화,7
스포츠/레저>오토바이/스쿠터,7
디지털/가전>멀티미디어장비,7
자동차용품>편의용품,7
자전거/헬스/스포츠>권투/검도/태권도,7
안전/보안용품>소화기/재난용품,7
캠핑/낚시>낚시 공구,7
언더웨어>보정속옷,7
계절가전/에어컨>여름가전,7
자동차용품>오토바이 용품,7
악기/취미/프라모델>수집/용품,7
디자인/문구/사무용품>스타방송상품,7
음반/DVD>굿즈/스타샵,7
안마용품>기타 안마용품,7
냉난방/청정/제습가전>해충퇴치기,7
장난감/교육완구/인형>무선모형/RC완구,7
자동차용품/스쿠터>모터싸이클/용품,7
자동차>오토바이·스쿠터,7
자동차용품>오토바이/용품,7
계절가전>모기/해충퇴치기,7
디지털/가전>영상가전,6
휴대폰/스마트폰>보호필름/스티커,6
쥬얼리/시계/선글라스>반지,6
가구/DIY/시공>유아 어린이 가구,6
가전/디지털>TV/영상가전,6
스포츠의류/트레이닝>스포츠소품,6
가구·홈·데코>아동·학생가구,6
청소용품>분리수거함,6
영상가전>프로젝터 액세서리,6
가공식품>잼/시럽,6
저장장치>이동식메모리,6
쌀/과일/농수축산물>생선류,6
헬스/다이어트/보충제>요가/필라테스,6
공구/안전/산업용품>운반/하역,6
공구/포장재/안전용품>운반/이동기구,6
공구/철물/산업/안전>운반기계,6
가방/잡화>머플러,6
신선식품>잡곡/혼합곡,6
주방용품>커피잔/찻잔,6
신선식품>생선,6
스포츠의류/운동화>런닝화/운동화,6
컴퓨터부품/주변기기>마우스,6
화방용품>목탄/파스텔,6
패션잡화>넥워머,6
악기/취미>기타(Guitar),6
여성신발>로퍼,6
출산·유아동>출산준비·돌·선물,6
가공식품>떡,6
축산>닭고기,6
구강/면도>코털제거,6
건강식품>홍삼/인삼,6
즉석/간식/가공식품>밀가루/믹스류/전분,6
가공식품>밀가루/홈베이킹/믹스,6
물티슈>물티슈 기타,6
PC주변기기>마우스,6
출산/유아용품/임부복>유아가구,6
휴대폰/스마트폰>웨어러블 디바이스,6
스마트기기>기타 웨어러블,6
건강식품>한방재료,6
식품·건강>정육·계란류,6
학생/사무/아동가구>아동/주니어가구,6
아동/주니어가구>책상,6
자동차용품>자동차필터/소모품,6
커피/음료>우유/두유,6
쥬얼리/시계>가발,6
골프클럽/의류/용품>골프백,6
신선식품>닭고기/계란,6
건강식품/다이어트>홍삼/인삼,6
문구/팬시용품>명함/상장/트로피,6
디자인/문구/사무용품>명함/상장/상패,6
고양이 간식>육포/져키/트릿,6
자동차용품>자동차부품/튜닝용품,6
영상가전>영상플레이어,6
꽃/원예>화분,6
자전거/보드/기타레저>자전거부품,6
쥬얼리/시계/선글라스>패션시계,6
스포츠>스포츠의류,6
건강식품>건강환/분말,6
학생/사무/아동가구>의자,6
쥬얼리/시계>예물/다이아몬드,6
쥬얼리/시계>쥬얼리 세트/용품,6
문방구/사무/종이>문구세트,6
캠핑/낚시>캠핑 식기/조리도구,6
완구/취미>역할놀이,6
오토바이/스쿠터>오토바이부품,6
가공식품/즉석/간식>초코렛/사탕/껌,6
과자/간식>초콜릿/사탕/젤리/껌,6
음향가전>스피커,6
음향/IOT/스마트홈>스피커,6
계절가전>핸디/휴대용 선풍기,6
자동차용품>전기용품,6
자동차용품>자동차관리용품,6
컴퓨터 주변기기>네트워크장비,6
골프클럽/의류/용품>장갑/모자/벨트,6
주방잡화>쓰레기봉투,6
악기/취미>악기용품,6
문구/팬시용품>스탬프/도장,6
취미>무선/RC,6
여성의류>테마의상,6
거실/주방/수납가구>주방가구,6
악기>국악기,6
완구/취미>물놀이/계절완구,6
국내/해외화장품>클렌징/필링젤/스크럽,6
스포츠/레저>보호용품,6
화장품/미용>클렌징,6
화장품>클렌징/필링,6
커피/생수/음료>차류,6
음료/과자/가공식품>녹차/차음료/전통차,6
화장지>화장지케이스,6
브랜드 잡화/소품>머플러,6
자전거/인라인/오토바이>오토바이/스쿠터,6
장난감/교육완구/인형>원목교구/가베,6
세제/구강>세탁세제/보조제,6
스포츠/레져>기타스포츠,6
화장지>롤화장지,6
악기/취미/프라모델>RC/무선조종,6
손발건강용품>발지압/발매트,6
세제/방향/살충>세탁세제,6
세제/제지/일용잡화>세탁세제,6
화방용품>스케치북,6
장난감/완구>음악/악기놀이,6
문방구/사무/종이>제도/디자인용품,6
침구/커튼/장식소품>스탠드,6
디지털>태블릿,6
유아동신발/가방/잡화>아동 외출/여행가방,6
홈인테리어/조명>스탠드/독서등,6
생활용품>방충용품,6
자동차용품/스쿠터>배터리/전기용품,6
장난감/완구>신생아/영유아완구,6
마스크>KF인증마스크,6
주방가전>에스프레소머신,6
자동차용품>자동차전기/장치,6
구기/라켓>당구용품,6
즉석/간식/가공식품>설탕/소금,6
블랙박스/내비/자동차용품>전기/전장용품,6
가구/DIY>서랍장,6
신발>남성캐주얼화,6
가구/인테리어>서랍장,6
골프>골프용품기타,6
스포츠 의류>여성 트레이닝복,6
남성가방>숄더백,6
건강/의료>마스크,6
생활/건강>재활운동용품,5
건강용품/실버/비데>재활의료용품,5
헬스>부위별 운동기구,5
휴대폰>휴대폰촬영용품,5
청소기/이미용/소형가전>가정용 건강가전,5
뷰티소품>퍼프,5
이미용가전>눈썹정리기,5
건강/의료용품>보호대/교정용품,5
음향기기>확성기,5
유아동의류/신발/가방>신발/운동화/구두,5
PC부품/주변기기>PC부품,5
침구>베개,5
태블릿>태블릿 주변기기,5
수입명품>명품 슈즈/패션잡화,5
꽃/원예>화분영양제/비료,5
가구/인테리어>소파,5
거실/주방/수납가구>소파,5
거실가구>소파,5
침구/커튼/장식소품>기능성침구/라텍스,5
주방/수입주방>보온/보냉,5
타이어/오일/부품>튜닝용품,5
침실가구>장롱/붙박이장,5
브랜드 지갑/벨트>남성벨트,5
쥬얼리/시계>반지,5
이미용가전>기타 미용가전,5
구강/면도>치실/치간칫솔,5
브랜드 잡화/소품>모자,5
구기/라켓>축구의류,5
자동차용품>차량용 액세서리,5
출산/돌기념품>출산준비패키지,5
유아동의류/잡화/임부복>신생아 의류(12개월이하),5
출산/육아>신생아의류,5
브랜드 아동패션>브랜드 신생아의류,5
노트북/데스크탑/태블릿>태블릿 액세서리,5
태블릿>태블릿 액세서리,5
온열/찜질용품>찜질기,5
여성의류>패딩/점퍼/야상,5
여성의류>점퍼,5
브랜드 여성의류>야상/점퍼/패딩,5
주방가구>식탁의자,5
가전·컴퓨터>저장장치,5
가구/인테리어>식탁,5
디지털/가전>저장장치,5
클렌징/필링>클렌징비누,5
바디케어>제모/왁싱,5
향수/바디/헤어/미용>제모용품/데오드란트,5
여성의류>테마,5
바디/헤어/향수/미용>다이어트/제모/데오드란트,5
PC부품/주변기기/저장장치>저장장치/USB,5
음료/과자/가공식품>생수/탄산수,5
생활잡화>우의,5
커피/생수/음료>생수,5
음향기기>스피커용품,5
수입명품>벨트,5
여성의류>점퍼/야상,5
거실/주방/수납가구>식탁,5
미술/화방용품>제도 용품,5
세탁용품>세탁볼,5
세제/방향/살충>제습제,5
디자인/문구/사무용품>제도용품,5
세제/구강>제습/제설제,5
남성신발>정장구두,5
구두/여성화/남성화>남성정장구두,5
바디/헤어/향수/미용>바디로션/핸드/풋케어,5
자동차용품>방향제/공기청정,5
언더웨어/잠옷>체형보정웨어,5
수산>건어물,5
침구>침구세트,5
가구/DIY>거실테이블,5
자전거/인라인/오토바이>자전거 캐리어/트레이너,5
자전거/보드>거치대/트레일러,5
곡물>쌀,5
컴퓨터 주변기기>스위칭허브,4
패션잡화>선글라스,4
악기/취미>광학기기,4
카메라>카메라조명용품,4
쌀/과일/농수축산물>수산가공식품,4
마스크>마스크 용품,4
쥬얼리/시계>선글라스,4
PC주변기기>키보드,4
조명/인테리어>스탠드조명,4
장난감/완구>원목교구/가베,4
취미>수집용품,4
언더웨어>속옷 소품,4
브랜드 신발/가방/잡화>남성화,4
세탁용품>기타 세탁용품,4
가공식품>빙과류,4
자전거/인라인/오토바이>자전거 헬멧/배낭,4
쌀/과일/농수축산물>오리고기/기타,4
조류용품>기타 조류용품,4
구기/라켓>축구화,4
자동차용품/스쿠터>튜닝용품,4
컴퓨터부품/주변기기>키보드/세트,4
건강식품/다이어트>개별인정/건강식품,4
홈/언더웨어>아동/주니어 속옷,4
화장품/미용>색조메이크업,4
여성의류>한복,4
남성신발>모카신,4
PC부품/주변기기>스피커/이어폰,4
조명/인테리어>데코 스티커,4
악기/취미/프라모델>건담,4
침구>침대/매트커버,4
주방잡화>음식물쓰레기통,4
침구/커튼>침구세트,4
침구>요/토퍼,4
자동차용품>자동차오일/첨가제,4
거실/주방/수납가구>거실가구,4
주방가전>토스터기,4
바디/헤어/향수/미용>이미용/위생용품,4
이미용가전>피부관리기,4
주얼리>브로치/배지,4
타이어/오일/부품>전기/전장용품,4
등산/아웃도어>남성등산의류,4
실버용품>환자용 배변용품,4
가공식품>한과/전통과자,4
남성신발>슬리퍼,4
국내/해외화장품>색조메이크업,4
출산/육아>유아동언더웨어/잠옷,4
휴대폰 액세서리>셀카봉,4
브랜드 아동패션>브랜드 아동내의,4
건강식품/홍삼/다이어트>비타민,4
가구/DIY>야외가구,4
가구/DIY>침대/매트리스,4
건강식품>개별인정/건강식품,4
애완/곤충/관상어용품>조류용품,4
반려/애완용품>조류용품,4
소동물/가축 용품>곤충/애완동물 용품,4
악기/악기용품>피아노/건반악기,4
청소용품>먼지떨이,4
악기/취미>기타악기/교본,4
자동차용품>타이어,4
주방/생활/이미용가전>다리미용품,4
건강/의료용품>비데,4
건강/의료용품>건강가전,4
PC주변기기>PC부품,4
화방용품>조소/조각/도예용품,4
생활잡화>문풍지/틈막이,4
브랜드 시계/쥬얼리>헤어악세사리,4
음료/과자/가공식품>초콜릿,4
출산/유아용품/임부복>보행기/부스터/바운서,4
즉석/간식/가공식품>라면/컵라면,4
음료/과자/가공식품>식자재도매/대용량,4
전동레저/인라인/킥보드>스케이트보드,4
헬스/다이어트/보충제>승마/복근/기타,4
조명/인테리어>인테리어스탠드,4
인테리어소품>스탠드,4
여성의류>테마·시즌의류,4
블랙박스/내비/카AV>카오디오음향기기,4
생활/미용가전>구강청정기기,4
수납가구>신발장,4
청소기/이미용/소형가전>다리미/미싱/보풀제거,4
신선식품>김치,4
문구/사무용품>동양화/서예용품,4
장난감/교육완구/인형>자전거/씽씽이/킥보드,4
계절가전>온풍기,4
가구/홈데코>인테리어자재,4
생필품>생리대/성인기저귀,4
쌀/과일/농수축산물>김치,4
카메라/주변기기>캠코더용품,4
여성의류>니트,4
남성의류>테마·시즌의류,4
계절가전/에어컨>난방가전,4
여성의류>정장,4
악기/취미>국악기,4
침실가구>서랍장,4
여성의류>자켓/코트,4
주방가전>전기포트/쿠커/토스터,4
건강식품>다이어트식품,4
주방용품>식기건조대,4
커피/음료>차음료/전통음료,4
자전거/인라인/오토바이>안장/핸들바/휠셋/구동계,4
계절가전/에어컨>전기매트/요,4
계절가전>가습기/가습용품,4
냉난방/청정/제습가전>가습기,4
PC주변기기>변환/전원케이블,4
냉난방/청정/제습가전>전기매트,4
음료/과자/가공식품>즉석/카레/덮밥,4
생활/욕실/수납용품>업소용품,4
디지털/가전>이미용가전,4
가구/홈데코>금고,4
노트북/데스크탑>노트북주변기기,4
건강/의료>물리치료용품,4
자전거/보드>보드/스키용품,4
스포츠/레저>기타스포츠용품,4
청소기/이미용/소형가전>드라이기/고데기,4
침구/커튼>아동침구,4
주방잡화>위생장갑,4
바디케어>비누,4
재활운동용품>자세교정용품,4
쌀/과일/농수축산물>쌀,4
반려동물용품>관상어사료,4
가전·컴퓨터>이미용가전,4
브랜드 잡화>캐주얼가방,4
건강식품/홍삼/다이어트>건강분말,4
건강식품>인삼/한방재료,4
건강식품>생식/선식/미숫가루,4
태블릿/MP3/이어폰>태블릿 액세서리,4
스포츠/레저>당구용품,3
컴퓨터부품/주변기기>쿨러,3
악기/악기용품>악기소품,3
자전거/헬스/스포츠>당구,3
구기/라켓>당구,3
등산/아웃도어>등산배낭,3
청소기/이미용/소형가전>전화기/통신기기,3
등산/아웃도어>등산화/트레킹화,3
바디/헤어>핸드풋케어,3
건강식품>건강즙,3
악기/취미>악기소품/케이스/장비,3
구기/라켓/스포츠>당구/포켓볼,3
등산/캠핑/낚시/보드>등산배낭,3
등산/아웃도어>등산배낭/가방,3
계절가전>에어컨,3
건강식품/다이어트>과즙/건강즙,3
언더웨어/잠옷>속바지/나시,3
침구/커튼/카페트>디자인 침구/커튼,3
곡물>잡곡/혼합곡,3
수납정리용품>옷커버,3
캠핑/낚시>바다낚시 용품,3
생활/미용가전>핸디/소형청소기,3
공구/포장재/안전용품>설비공구,3
수산>생선류,3
자동차용품>엔진용품,3
공구>배관공구,3
주방/생활/이미용가전>핸디형청소기,3
주방가전>식품제조기,3
디자인/문구/사무용품>도장/인주,3
노트북/PC>노트북 주변기기,3
구기/라켓/수영/스키>당구,3
브랜드 잡화/소품>스타킹,3
주방용품/수입주방>제수용품,3
골프클럽/의류/용품>골프가방,3
저장장치/메모리>USB 메모리,3
건강식품/홍삼/다이어트>다이어트식품,3
지갑/벨트>머니클립,3
바디/헤어>트리트먼트,3
출산/육아>출산/돌기념품,3
헤어케어>트리트먼트,3
건강식품>한방재료/약용버섯,3
청소용품>걸레,3
유아동신발/가방/잡화>아동 우비/우산/장화,3
유아동의류/신발/가방>신생아의류,3
유아동의류/잡화/임부복>우산우의장화/테마/발레,3
건강식품/다이어트>한방재료/약용버섯,3
장난감/교육완구/인형>피규어,3
악기/취미/프라모델>피규어/캐릭터,3
건강식품/홍삼/다이어트>한방재료,3
취미>피규어/캐릭터,3
카메라>일반카메라,3
음향/IOT/스마트홈>블루투스,3
